solvent,polymer,c_value,v_value,source_paper,table_name
benzene-d6,polystyrene,-7.718505297869414,0.5283,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
toluene-d8,polystyrene,-7.6700776226075575,0.531065,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
dichloromethane,polystyrene,-7.56166654250548,0.521453,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
acetone,polystyrene,-7.679147780168245,0.452089,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
methanol-d4,polyethylene oxide,-7.843617451027789,0.504105,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
deuterium oxide,polyethylene oxide,-8.101177771017927,0.512155,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
tetrahydrofuran-d8,polyethylene oxide,-7.733838887780599,0.513725,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
acetonitrile-d3,polyethylene oxide,-7.590203777049215,0.515853,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
acetone,polyethylene oxide,-7.673502333065918,0.474477,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
tetrahydrofuran-d8,poly(methyl methacrylate),-7.61465473895388,0.517608,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
chloroform-d,poly(methyl methacrylate),-7.579851091223765,0.543219,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
benzene-d6,poly(methyl methacrylate),-7.683956229316216,0.530394,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
dichloromethane,poly(methyl methacrylate),-7.48967889681907,0.53678,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
dimethyl sulfoxide,poly(methyl methacrylate),-8.505773029599105,0.444236,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
tetrahydrofuran-d8,polystyrene,-7.497627511688311,0.5604,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
benzene-d6,polystyrene,-7.594397544790686,0.56041,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
chloroform-d,polystyrene,-7.523371224817643,0.56239,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
dichloromethane,polystyrene,-7.406713932979542,0.56162,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
toluene-d8,polystyrene,-7.670073559204548,0.53106,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
acetone,polystyrene,-7.679147780168245,0.45209,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
tetrahydrofuran-d8,poly(methyl methacrylate),-7.434234799547848,0.5624,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
benzene-d6,poly(methyl methacrylate),-7.528356300958614,0.56913,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
chloroform-d,poly(methyl methacrylate),-7.416619835412931,0.58372,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
dichloromethane,poly(methyl methacrylate),-7.285687008705199,0.58736,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
dimethyl sulfoxide-d6,poly(methyl methacrylate),-8.505775813083098,0.44424,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
tetrahydrofuran-d8,polyimide,-7.330497165895657,0.60811,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
benzene-d6,polyimide,-7.388584736177106,0.61614,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
chloroform-d,polyimide,-7.298285260295005,0.62721,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
dichloromethane,polyimide,-7.380124391499957,0.57317,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
tetrahydrofuran-d8,poly(2-vinylpyridine),-7.739952475004678,0.5049,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
benzene-d6,poly(2-vinylpyridine),-7.903646240006705,0.48883,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
chloroform-d,poly(2-vinylpyridine),-7.577590743390301,0.6449,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
dichloromethane,poly(2-vinylpyridine),-7.9471137647436185,0.4789,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
tetrahydrofuran-d8,polyethylene oxide,-7.478914244084677,0.58062,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table9
acetonitrile-d3,polyethylene oxide,-7.281913705216908,0.58062,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table9
deuterium oxide,polyethylene oxide,-7.877194537152556,0.5723,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table9
methanol-d4,polyethylene oxide,-7.591607379866639,0.57021,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table9
acetone,polyethylene oxide,-7.6735002852749625,0.47448,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table9
benzene-d6,poly(methyl methacrylate),-7.696566333993796,0.52734,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table10
benzene-d6,poly(methyl methacrylate),-7.623331814189471,0.52996,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table10
benzene-d6,poly(methyl methacrylate),-7.58838029403677,0.52552,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table10
benzene-d6,poly(methyl methacrylate),-7.512607063941288,0.53221,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table10
benzene-d6,poly(methyl methacrylate),-7.5343643794466715,0.51415,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table10
benzene-d6,poly(methyl methacrylate),-7.486103513077076,0.51461,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table10
deuterium oxide,polyethylene oxide,-7.877194537152556,0.5723,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table10
deuterium oxide,polyethylene oxide,-7.842301520724484,0.55987,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table10
deuterium oxide,polyethylene oxide,-7.717785866937665,0.56339,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table10
deuterium oxide,polyethylene oxide,-7.625031813700766,0.55747,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table10
deuterium oxide,polyethylene oxide,-7.556330296503602,0.55169,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table10
